colonia_alcaldia,consumo_total,tot_hog,nivel_promedio_ponderado,diversidad_shannon,PC1,PC2,PC3,PC4
HACIENDA DE GUADALUPE CHIMALISTAC | ALVARO OBREGON,76827.74,448,3.977737468263416,0.1028088287767874,0.032204154234174,2.2415971428976804,-1.439748565913274,0.6717662670492229
HACIENDA SAN JUAN-RINCON DE SAN JUAN-CHIMALI | TLALPAN,46915.8,1265,3.207686749453276,0.8776247189518736,0.8333817970011534,1.444088752781749,0.5909022871146462,0.4080776121436634
HACIENDAS DE COYOACAN (FRACC) | COYOACAN,42619.770000000004,563,3.0238978295753354,0.6278107017457177,0.10849697471534164,1.5446563207289874,0.16322380112632515,0.143564874844867
HERMOSILLO | COYOACAN,63454.270000000004,544,3.1834473865982544,0.5854192173068744,0.26339582949807316,1.6595559280577796,-0.10343264125908089,0.09600308722363554
HEROE DE NACOZARI | GUSTAVO A. MADERO,44050.49,772,2.595677596321857,0.9895410458099043,0.4921804913369603,1.1781648803144003,1.0399601243200403,-0.21251876581865206
HEROES DE CHAPULTEPEC | GUSTAVO A. MADERO,19928.899999999998,395,1.6907742022891379,0.6184798084916677,-0.7395511645039845,0.4416462848343626,0.6802958457818435,-0.5020321114729469
HEROES DE CHURUBUSCO | IZTAPALAPA,116963.0,1992,1.8730819147935673,0.38048583736989966,0.3262631339491797,-0.38978826745283696,-0.5352398711019651,-0.19141745999593585
HEROES DE PADIERNA I | TLALPAN,8099.33,2395,3.7122762006240024,0.5804912480579759,0.8302195505585259,1.276891196337643,0.02263872433323894,1.688556334146811
HEROES DE PADIERNA II | TLALPAN,2030.05,2444,1.6522548705696907,0.9922309664009045,0.4190835048709735,-0.4644798943047394,1.533924848004171,0.381583041044912
HEROES DE PADIERNA | LA MAGDALENA CONTRERAS,187605.12,1571,2.1936195557989038,1.007143928660811,1.6519074601214814,0.25166684191160604,0.26944120718731746,-1.096898874285629
HERON PROAL | ALVARO OBREGON,10968.869999999999,807,1.7219786541366615,0.5910748305383777,-0.6648983662614875,0.2646581942688244,0.6567428880346696,-0.20417160846348592
HIPODROMO CONDESA | CUAUHTEMOC,199688.87,1513,3.75598559899708,0.5594069088908555,1.8252957289833678,1.525907237699237,-1.2103068218313058,-0.09084376388795369
HIPODROMO I | CUAUHTEMOC,309352.05,2621,3.809599354521814,0.460993604975985,2.919090351923398,0.8570164191493178,-2.156635239462204,-0.26120126591862375
HIPODROMO II | CUAUHTEMOC,330166.7,3171,3.4402002079555567,0.9281221078685786,3.7409978611503516,0.3881053222114234,-1.2056306891862534,-0.6215740438765287
HOGAR Y REDENCION | ALVARO OBREGON,17175.31,829,2.0,-0.0,-1.2834396838044033,0.28884121598203444,-0.7174092102164904,0.25983163419750865
HOGAR Y SEGURIDAD/NUEVA SANTA MARIA | AZCAPOTZALCO,71465.25,1108,2.3964843053092237,0.7709565018757594,0.4293057776137404,0.7195210404685153,0.4523494060551191,-0.23024885719933316
HOGARES FERROCARRILEROS (U HAB) | AZCAPOTZALCO,31176.160000000003,452,2.0,-0.0,-1.3317463124536995,0.4610156292534289,-0.7937816140342109,-0.02439526505820579
HUASIPUNGO (U HAB) | IZTAPALAPA,3594.52,163,2.0,-0.0,-1.6381116693901465,0.6378640374784709,-0.6118771055421867,0.03532753201294493
HUAUTLA DE LAS SALINAS (BARR) | AZCAPOTZALCO,5712.18,49,3.9996218606556515,0.0012577919255353344,-0.7500888716709401,2.5082372749321977,-1.2030082437984848,1.0649419548514218
HUAYATLA | LA MAGDALENA CONTRERAS,186.34,1218,1.4688741011055062,0.6912082839649691,-0.5614557291021298,-0.12250771973152172,0.9981265738215237,-0.12461940269995249
HUESO PERIFERICO-ISSSFAM NO. 7 (U HABS) | TLALPAN,62810.68000000001,1039,1.1863859776713133,0.2901754304028552,-0.8617454650834836,-0.5052124910753963,-0.1572933655239953,-0.5864489653043536
